WORD,STEM
dung,dung
partaken,partake
cellarer,cellarer
flues,flue
stylus,stylus
flaming,flaming
way,way
shadowy,shadowy
drudging,drudge
peal,peal
harrowed,harrow
farinaceous,farinaceous
corduroys,corduroy
yawned,yawn
poring,por.
trinkets,trinket
spurned,spurn
taunting,taunt
conceitedly,conceitedly
flighty,flighty
vanquished,vanquish
felicitous,felicitous
toadies,toady
humbugs,humbug
misgiving,misgiving
glazier,glazier
wick,wick
steeple,steeple
gridiron,gridiron
unworthily,unworthily
pates,pate
choir,choir
interjection,interjection
colt,colt
cowls,cowl
illuminators,illuminator
reticence,reticence
figments,figment
chimeras,chimera
dais,dais
limpid,limpid
arcane,arcane
loquacity,loquacity
hirsute,hirsute
habit,habit
parchment,parchment
edifying,edifying
addled,addled
woe,woe
confabulating,confabulate
sacraments,sacrament
mettlesome,mettlesome
credence,credence
comeliness,comeliness
sated,sate
meed,meed
syllogisms,syllogism
unedifying,unedifying
monstrances,monstrance
curry,curry
ensnare,ensnare
necromancers,necromancer
bristling,bristling
inveighed,inveigh
mulier,mulie
toilsome,toilsome
concupiscent,concupiscent
cicadas,cicada
provost,provost
tare,tare
erred,err
reprobates,reprobate
legations,legation
dross,dross
pilfering,pilfer
fleeting,fleeting
harking,hark
hellebore,hellebore
parenthetically,parenthetically
broached,broach
recesses,recess
mote,mote
necromancy,necromancy
dropsy,dropsy
harangue,harangue
purloined,purloin
cachinnations,cachinnation
nape,nape
feeble,feeble
slaked,slake
epitome,epitome
offal,offal
hooligans,hooligan
Recant,recant
foment,foment
monstrance,monstrance
lemures,lemur
necromantic,necromantic
lucre,lucre
soothsayers,soothsayer
recreants,recreant
simoniacal,simoniacal
usury,usury
syllogism,syllogism
curia,curia
writhe,writhe
stake,stake
tithes,tithe
molten,molten
behest,behest
snares,snare
cloister,cloister
brume,brume
tatterdemalions,tatterdemalion
twittered,twitter
mendicant,mendicant
chasuble,chasuble
truffles,truffle
duly,duly
cauldron,cauldron
jumble,jumble
smattering,smattering
sop,sop
heresiarch,heresiarch
lascivious,lascivious
yelping,yelp
irae,IRA
sage,sage
custodian,custodian
Sederunt,sederunt
keg,keg
Domine,dominee
Hibernian,Hibernian
paupers,pauper
clubbing,clubbing
aping,API
hasten,hasten
wretch,wretch
therewith,therewith
studded,studded
sneering,sneer
vocative,vocative
balms,balm
bustle,bustle
ebullient,ebullient
abbess,abbess
dissuades,dissuade
virtuous,virtuous
prevaricators,prevaricator
sederunt,sederunt
chalice,chalice
guise,guise
fluxion,fluxion
strumpets,strumpet
infamous,infamous
prebend,prebend
tympanum,tympanum
pallet,pallet
raiment,raiment
riven,rive
bulwark,bulwark
commiseration,commiseration
simile,simile
gloss,gloss
Super,super
yesteryear,yesteryear
illuminate,illuminate
succor,succor
hoard,hoard
ineffable,ineffable
Raven,raven
limber,limber
concinnity,concinnity
caliphs,caliph
raven,raven
scuttled,scuttle
extolled,extol
pudenda,pudendum
nadir,nadir
scansion,scansion
cento,cento
two,two
acrostic,acrostic
listless,listless
rucksack,rucksack
scarcer,scarce
lofty,lofty
miscreants,miscreant
pettifogging,pettifogging
cudgel,cudgel
freebooters,freebooter
artificers,artificer
trodden,trodden
shirker,shirker
poltroons,poltroon
maimed,maim
rowdies,rowdy
duffers,duffer
mutineering,mutineer
booty,booty
GDP,GDP
set,set
abetting,abet
readily,readily
recourse,recourse
dovetail,dovetail
extrinsic,extrinsic
buttress,buttress
colonies,colony
presumption,presumption
expedience,expedience
wont,wont
eschewing,eschew
high-flown,high-flown
when,when
Antiochus,Antiochus
sagacious,sagacious
inchoate,inchoate
entreaty,entreaty
conjoined,conjoin
mire,mire
Prince,Prince
prudent,prudent
controvert,controvert
autarchic,autarchic
catered,cater
handmaid,handmaid
effected,effect
strife,strife
bartered,barter
knuckle,knuckle
serried,serried
ensconced,ensconce
indomitably,indomitably
foreboded,forebode
contumely,contumely
Dorten,Dort
plebiscite,plebiscite
astray,astray
innocuous,innocuous
Chauvinist,chauvinist
ruff,ruff
ringleaders,ringleader
contriving,contrive
ponderous,ponderous
painstaking,painstaking
glaring,glaring
nescience,nescience
cajolery,cajolery
truism,truism
dauntless,dauntless
dumpling,dumpling
jubilee,jubilee
blear-eyed,blear-eyed
protagonist,protagonist
buffets,buffet
panegyrics,panegyric
yoke,yoke
usurers,usurer
drudge,drudge
carrion,carrion
windbag,windbag
retort,retort
spouters,spouter
raillery,raillery
limed,lime
filial,filial
incumbent,incumbent
handiwork,handiwork
whetted,whet
ape,ape
exactions,exaction
mountebanks,mountebank
wistfulness,wistfulness
greenhorn,greenhorn
advance,advance
reassured,reassure
grizzled,grizzled
hoary,hoary
thistles,thistle
Queer,queer
meekly,meekly
Scooted,scoot
conjecture,conjecture
inquest,inquest
mien,mien
superciliousness,superciliousness
bugle,bugle
sinecure,sinecure
stories,storey
frumpy,frumpy
helter-skelter,helter-skelter
flung,flung
remonstrated,remonstrate
that,that
waddle,waddle
swaggering,swagger
abuts,abut
dexterous,dexterous
quenched,quench
Exchequer,exchequer
supposing,suppose
under,under
meek,meek
Pint,pint
dunghill,dunghill
briars,briar
prodigiously,prodigiously
undertook,undertook
retainers,retainer
conjuror,conjuror
fawned,fawn
columbine,columbine
delve,delve
file,file
whitewash,whitewash
vicariously,vicariously
pantaloon,pantaloon
saturnine,saturnine
bolting,bolting
dissuading,dissuade
cravat,cravat
pollards,pollard
flaxen,flaxen
dikes,dike
Hark,hark
flounce,flounce
giddy,giddy
Hob,hob
squally,squally
hunk,hunk
trifled,trifle
hob,hob
dust-pan,dustpan
After,after
asunder,asunder
cask,cask
chattered,chatter
rimy,rimy
reaping,reap
lamed,lame
ague,ague
