"id","word","stem","lang","category","timestamp","profileid"
en:dung,dung,dung,en,0,1407812709359,""
en:partaken,partaken,partake,en,0,1407812731593,""
en:cellarer,cellarer,cellarer,en,0,1407812934135,""
en:flues,flues,flue,en,0,1407984805491,""
en:stylus,stylus,stylus,en,0,1407984877692,""
en:flaming,flaming,flaming,en,0,1415848571122,""
en:way,way,way,en,0,1416698336761,""
en:shadowy,shadowy,shadowy,en,0,1416699445478,""
en:drudging,drudging,drudge,en,0,1417026193941,""
en:peal,peal,peal,en,0,1417030621879,""
en:harrowed,harrowed,harrow,en,0,1417032135335,""
en:farinaceous,farinaceous,farinaceous,en,0,1417032227180,""
en:corduroys,corduroys,corduroy,en,0,1417032288828,""
en:yawned,yawned,yawn,en,0,1417032320883,""
en:poring,poring,por.,en,0,1417032343771,""
en:trinkets,trinkets,trinket,en,0,1417040613759,""
en:spurned,spurned,spurn,en,0,1417041644393,""
en:taunting,taunting,taunt,en,0,1417533088936,""
en:conceitedly,conceitedly,conceitedly,en,0,1417533618194,""
en:flighty,flighty,flighty,en,0,1417533746575,""
en:vanquished,vanquished,vanquish,en,0,1417537098370,""
en:felicitous,felicitous,felicitous,en,0,1417537363784,""
en:toadies,toadies,toady,en,0,1417538295062,""
en:humbugs,humbugs,humbug,en,0,1417538309356,""
en:misgiving,misgiving,misgiving,en,0,1417538779345,""
en:glazier,glazier,glazier,en,0,1407130145701,""
en:wick,wick,wick,en,0,1407131084399,""
en:steeple,steeple,steeple,en,0,1407125075193,""
en:gridiron,gridiron,gridiron,en,0,1407291686293,""
en:unworthily,unworthily,unworthily,en,0,1406688051925,""
en:pates,pates,pate,en,0,1407124810583,""
en:choir,choir,choir,en,0,1407130265294,""
en:interjection,interjection,interjection,en,0,1407129989249,""
en:colt,colt,colt,en,0,1406688069486,""
en:cowls,cowls,cowl,en,0,1407724495958,""
en:illuminators,illuminators,illuminator,en,0,1406953266172,""
en:reticence,reticence,reticence,en,0,1407130944475,""
en:figments,figments,figment,en,0,1407724684586,""
en:chimeras,chimeras,chimera,en,0,1407124896235,""
en:dais,dais,dais,en,0,1407131362694,""
en:limpid,limpid,limpid,en,0,1407130370483,""
en:arcane,arcane,arcane,en,0,1407130871185,""
en:loquacity,loquacity,loquacity,en,0,1407130938082,""
en:hirsute,hirsute,hirsute,en,0,1407124821711,""
en:habit,habit,habit,en,0,1406952973061,""
en:parchment,parchment,parchment,en,0,1407723847494,""
en:edifying,edifying,edifying,en,0,1407125278282,""
en:addled,addled,addled,en,0,1407131511486,""
en:woe,woe,woe,en,0,1407130737933,""
en:confabulating,confabulating,confabulate,en,0,1407725161751,""
en:sacraments,sacraments,sacrament,en,0,1407811805870,""
en:mettlesome,mettlesome,mettlesome,en,0,1408320549156,""
en:credence,credence,credence,en,0,1408320709408,""
en:comeliness,comeliness,comeliness,en,0,1408320844481,""
en:sated,sated,sate,en,0,1408503741894,""
en:meed,meed,meed,en,0,1408322552704,""
en:syllogisms,syllogisms,syllogism,en,0,1408489124029,""
en:unedifying,unedifying,unedifying,en,0,1408320650501,""
en:monstrances,monstrances,monstrance,en,0,1408322282897,""
en:curry,curry,curry,en,0,1408320506627,""
en:ensnare,ensnare,ensnare,en,0,1408489178808,""
en:necromancers,necromancers,necromancer,en,0,1408881358443,""
en:bristling,bristling,bristling,en,0,1409279439874,""
en:inveighed,inveighed,inveigh,en,0,1408881496930,""
en:mulier,mulier,mulie,en,0,1409279613554,""
en:toilsome,toilsome,toilsome,en,0,1408680246870,""
en:concupiscent,concupiscent,concupiscent,en,0,1410008506186,""
en:cicadas,cicadas,cicada,en,0,1410009076420,""
en:provost,provost,provost,en,0,1409008643447,""
en:tare,tare,tare,en,0,1409098480213,""
en:erred,erred,err,en,0,1409098594833,""
en:reprobates,reprobates,reprobate,en,0,1408879207049,""
en:legations,legations,legation,en,0,1410064440911,""
en:dross,dross,dross,en,0,1409023754481,""
en:pilfering,pilfering,pilfer,en,0,1408681744604,""
en:fleeting,fleeting,fleeting,en,0,1410008094500,""
en:harking,harking,hark,en,0,1409087386117,""
en:hellebore,hellebore,hellebore,en,0,1409713669128,""
en:parenthetically,parenthetically,parenthetically,en,0,1409023474512,""
en:broached,broached,broach,en,0,1408679457463,""
en:recesses,recesses,recess,en,0,1409104202693,""
en:mote,mote,mote,en,0,1410007365361,""
en:necromancy,necromancy,necromancy,en,0,1409800678208,""
en:dropsy,dropsy,dropsy,en,0,1408881382541,""
en:harangue,harangue,harangue,en,0,1409098690556,""
en:purloined,purloined,purloin,en,0,1408591306017,""
en:cachinnations,cachinnations,cachinnation,en,0,1409279575020,""
en:nape,nape,nape,en,0,1409023685751,""
en:feeble,feeble,feeble,en,0,1409590203992,""
en:slaked,slaked,slake,en,0,1409590327451,""
en:epitome,epitome,epitome,en,0,1409009025535,""
en:offal,offal,offal,en,0,1409590443481,""
en:hooligans,hooligans,hooligan,en,0,1408879232608,""
en:Recant,Recant,recant,en,0,1409199152434,""
en:foment,foment,foment,en,0,1409103683893,""
en:monstrance,monstrance,monstrance,en,0,1409631345991,""
en:lemures,lemures,lemur,en,0,1409085969040,""
en:necromantic,necromantic,necromantic,en,0,1409023464539,""
en:lucre,lucre,lucre,en,0,1409590648702,""
en:soothsayers,soothsayers,soothsayer,en,0,1408881364565,""
en:recreants,recreants,recreant,en,0,1408879221656,""
en:simoniacal,simoniacal,simoniacal,en,0,1408881091031,""
en:usury,usury,usury,en,0,1409008921790,""
en:syllogism,syllogism,syllogism,en,0,1410008302559,""
en:curia,curia,curia,en,0,1409089647436,""
en:writhe,writhe,writhe,en,0,1410008475151,""
en:stake,stake,stake,en,0,1409199211508,""
en:tithes,tithes,tithe,en,0,1409008738271,""
en:molten,molten,molten,en,0,1409589956867,""
en:behest,behest,behest,en,0,1409089740619,""
en:snares,snares,snare,en,0,1410008138381,""
en:cloister,cloister,cloister,en,0,1409089863659,""
en:brume,brume,brume,en,0,1410014919889,""
en:tatterdemalions,tatterdemalions,tatterdemalion,en,0,1408879161281,""
en:twittered,twittered,twitter,en,0,1409085902147,""
en:mendicant,mendicant,mendicant,en,0,1408881512741,""
en:chasuble,chasuble,chasuble,en,0,1409279505735,""
en:truffles,truffles,truffle,en,0,1410014845241,""
